e_number,article_number,name,category,series,size,color,unit,length_meters,active
1270773,NAL330W15040B,KABL VIT HAN+HON SV RQQ SKÄ. 3G1,5 SV 4M,cable,EnstoNet,3G1.5,white-black,m,4,true
1270935,NAL330W15050B,KABL VIT HAN+HON SV RQQ SKÄ. 3G1,5 SV 5M,cable,EnstoNet,3G1.5,white-black,m,5,true
1270936,NAL330W15060B,KABL VIT HAN+HON SV RQQ SKÄ. 3G1,5 SV 6M,cable,EnstoNet,3G1.5,white-black,m,6,true
1270776,NAL330W25020B,KABL VIT HAN+HON SV RQQ SKÄ. 3G2,5 SV 2M,cable,EnstoNet,3G2.5,white-black,m,2,true
1270777,NAL330W25030B,KABL VIT HAN+HON SV RQQ SKÄ. 3G2,5 SV 3M,cable,EnstoNet,3G2.5,white-black,m,3,true
1270778,NAL330W25040B,KABL VIT HAN+HON SV RQQ SKÄ. 3G2,5 SV 4M,cable,EnstoNet,3G2.5,white-black,m,4,true
1270938,NAL330W25050B,KABL VIT HAN+HON SV RQQ SKÄ. 3G2,5 SV 5M,cable,EnstoNet,3G2.5,white-black,m,5,true
1270939,NAL330W25060B,KABL VIT HAN+HON SV RQQ SKÄ. 3G2,5 SV 6M,cable,EnstoNet,3G2.5,white-black,m,6,true
1270916,NAL150W15020B,KABL VIT HONA SV +FRI+FRI RQQ SKÄ.5G1,5 2M,cable,EnstoNet,5G1.5,white-black,m,2,true
1270917,NAL150W15030B,KABL VIT HONA SV +FRI+FRI RQQ SKÄ.5G1,5 3M,cable,EnstoNet,5G1.5,white-black,m,3,true
1270922,NAL150W25020B,KABL VIT HONA SV +FRI+FRI RQQ SKÄ.5G2,5 2M,cable,EnstoNet,5G2.5,white-black,m,2,true
1270923,NAL150W25030B,KABL VIT HONA SV +FRI+FRI RQQ SKÄ.5G2,5 3M,cable,EnstoNet,5G2.5,white-black,m,3,true

1270942,NAL510W15020B,KABL VIT HANE SV+FRI RQQ SKÄ.5G1,5 2M,cable,EnstoNet,5G1.5,white-black,m,2,true
1270943,NAL510W15030B,KABL VIT HANE SV+FRI RQQ SKÄ.5G1,5 3M,cable,EnstoNet,5G1.5,white-black,m,3,true
1270947,NAL510W25020B,KABL VIT HANE SV+FRI RQQ SKÄ.5G2,5 2M,cable,EnstoNet,5G2.5,white-black,m,2,true
1270948,NAL510W25030B,KABL VIT HANE SV+FRI RQQ SKÄ.5G2,5 3M,cable,EnstoNet,5G2.5,white-black,m,3,true
1270781,NAL550W15020B,KABL VIT HAN+HON SV RQQ SKÄ. 5G1,5 SV 2M,cable,EnstoNet,5G1.5,white-black,m,2,true
1270782,NAL550W15030B,KABL VIT HAN+HON SV RQQ SKÄ. 5G1,5 SV 3M,cable,EnstoNet,5G1.5,white-black,m,3,true
1270783,NAL550W15040B,KABL VIT HAN+HON SV RQQ SKÄ. 5G1,5 SV 4M,cable,EnstoNet,5G1.5,white-black,m,4,true
1270952,NAL550W15050B,KABL VIT HAN+HON SV RQQ SKÄ. 5G1,5 SV 5M,cable,EnstoNet,5G1.5,white-black,m,5,true
1270953,NAL550W15060B,KABL VIT HAN+HON SV RQQ SKÄ. 5G1,5 SV 6M,cable,EnstoNet,5G1.5,white-black,m,6,true
1270786,NAL550W25020B,KABL VIT HAN+HON SV RQQ SKÄ. 5G2,5 SV 2M,cable,EnstoNet,5G2.5,white-black,m,2,true
1270787,NAL550W25030B,KABL VIT HAN+HON SV RQQ SKÄ. 5G2,5 SV 3M,cable,EnstoNet,5G2.5,white-black,m,3,true
1270788,NAL550W25040B,KABL VIT HAN+HON SV RQQ SKÄ. 5G2,5 SV 4M,cable,EnstoNet,5G2.5,white-black,m,4,true
1270955,NAL550W25050B,KABL VIT HAN+HON SV RQQ SKÄ. 5G2,5 SV 5M,cable,EnstoNet,5G2.5,white-black,m,5,true
1270956,NAL550W25060B,KABL VIT HAN+HON SV RQQ SKÄ. 5G2,5 SV 6M,cable,EnstoNet,5G2.5,white-black,m,6,true
1270960,NCL150W15020G,KABL VIT HONA GRÅ+FRI RQQ SKÄ.5G1,5 2M,cable,EnstoNet,5G1.5,white-gray,m,2,true
1270961,NCL150W15030G,KABL VIT HONA GRÅ+FRI RQQ SKÄ.5G1,5 3M,cable,EnstoNet,5G1.5,white-gray,m,3,true
1271104,NCL150W25020G,KABL VIT HONA GRÅ+FRI RQQ SKÄ.5G2,5 2M,cable,EnstoNet,5G2.5,white-gray,m,2,true
1271105,NCL150W25030G,KABL VIT HONA GRÅ+FRI RQQ SKÄ.5G2,5 3M,cable,EnstoNet,5G2.5,white-gray,m,3,true
1270800,NCL510W15010G,KABL VIT HANE GRÅ+FRI RQQ SKÄ.5G1,5 1M,cable,EnstoNet,5G1.5,white-gray,m,1,true
1270964,NCL510W15020G,KABL VIT HANE GRÅ+FRI RQQ SKÄ.5G1,5 2M,cable,EnstoNet,5G1.5,white-gray,m,2,true
1270801,NCL510W15025G,KABL VIT HANE GRÅ+FRI RQQ SKÄ.5G1,5 2.5M,cable,EnstoNet,5G1.5,white-gray,m,2.5,true
1270965,NCL510W15030G,KABL VIT HANE GRÅ+FRI RQQ SKÄ.5G1,5 3M,cable,EnstoNet,5G1.5,white-gray,m,3,true
1271099,NCL510W25010G,KABL VIT HANE GRÅ+FRI RQQ SKÄ.5G2,5 1M,cable,EnstoNet,5G2.5,white-gray,m,1,true
1271100,NCL510W25020G,KABL VIT HANE GRÅ+FRI RQQ SKÄ.5G2,5 2M,cable,EnstoNet,5G2.5,white-gray,m,2,true
1271101,NCL510W25030G,KABL VIT HANE GRÅ+FRI RQQ SKÄ.5G2,5 3M,cable,EnstoNet,5G2.5,white-gray,m,3,true
1270803,NCL550W15020G,KABL VIT HAN+HON GRÅ RQQ SKÄ. 5G1,5 GRÅ 2M,cable,EnstoNet,5G1.5,white-gray,m,2,true
1270804,NCL550W15030G,KABL VIT HAN+HON GRÅ RQQ SKÄ. 5G1,5 GRÅ 3M,cable,EnstoNet,5G1.5,white-gray,m,3,true
1270805,NCL550W15040G,KABL VIT HAN+HON GRÅ RQQ SKÄ. 5G1,5 GRÅ 4M,cable,EnstoNet,5G1.5,white-gray,m,4,true
1270970,NCL550W15050G,KABL VIT HAN+HON GRÅ RQQ SKÄ. 5G1,5 GRÅ 5M,cable,EnstoNet,5G1.5,white-gray,m,5,true
1270971,NCL550W15060G,KABL VIT HAN+HON GRÅ RQQ SKÄ. 5G1,5 GRÅ 6M,cable,EnstoNet,5G1.5,white-gray,m,6,true
1270807,NCL550W25020G,KABL VIT HAN+HON GRÅ RQQ SKÄ.5G2,5 2M,cable,EnstoNet,5G2.5,white-gray,m,2,true
1270808,NCL550W25030G,KABL VIT HAN+HON GRÅ RQQ SKÄ.5G2,5 3M,cable,EnstoNet,5G2.5,white-gray,m,3,true
1270809,NCL550W25040G,KABL VIT HAN+HON GRÅ RQQ SKÄ.5G2,5 4M,cable,EnstoNet,5G2.5,white-gray,m,4,true
1270975,NCL550W25050G,KABL VIT HAN+HON GRÅ RQQ SKÄ.5G2,5 5M,cable,EnstoNet,5G2.5,white-gray,m,5,true
1270976,NCL550W25060G,KABL VIT HAN+HON GRÅ RQQ SKÄ.5G2,5 6M,cable,EnstoNet,5G2.5,white-gray,m,6,true
