e_number,article_number,name,category,series,size,color,unit,length_meters,active
1270238,NAL510T25020,KABL VIT HANE+FRI RQQ5G2,5 2M,cable,EnstoNet,5G2.5,white,m,2,true
1270239,NAL510T25030,KABL VIT HANE+FRI RQQ5G2,5 3M,cable,EnstoNet,5G2.5,white,m,3,true
1270240,NAL510T25040,KABL VIT HANE+FRI RQQ5G2,5 4M,cable,EnstoNet,5G2.5,white,m,4,true
1270241,NAL510T25050,KABL VIT HANE+FRI RQQ5G2,5 5M,cable,EnstoNet,5G2.5,white,m,5,true
1270691,NAL511T15010,KABL VIT HANE+FRI RQQ3G1,5 1M L1,cable,EnstoNet,3G1.5,white,m,1,true
1270692,NAL511T15020,KABL VIT HANE+FRI RQQ3G1,5 2M L1,cable,EnstoNet,3G1.5,white,m,2,true
1270693,NAL511T15030,KABL VIT HANE+FRI RQQ3G1,5 3M L1,cable,EnstoNet,3G1.5,white,m,3,true
1270699,NAL512T15010,KABL VIT HANE+FRI RQQ3G1,5 1M L2,cable,EnstoNet,3G1.5,white,m,1,true
1270704,NAL512T15020,KABL VIT HANE+FRI RQQ3G1,5 2M L2,cable,EnstoNet,3G1.5,white,m,2,true
1270705,NAL512T15030,KABL VIT HANE+FRI RQQ3G1,5 3M L2,cable,EnstoNet,3G1.5,white,m,3,true
1270717,NAL513T15010,KABL VIT HANE+FRI RQQ3G1,5 1M L3,cable,EnstoNet,3G1.5,white,m,1,true
1270718,NAL513T15020,KABL VIT HANE+FRI RQQ3G1,5 2M L3,cable,EnstoNet,3G1.5,white,m,2,true
1270726,NAL513T15030,KABL VIT HANE+FRI RQQ3G1,5 3M L3,cable,EnstoNet,3G1.5,white,m,3,true
1270074,NAL550T15020,KABL VIT HAN+HON RQQ 5G1,5 2M,cable,EnstoNet,5G1.5,white,m,2,true
1270075,NAL550T15030,KABL VIT HAN+HON RQQ 5G1,5 3M,cable,EnstoNet,5G1.5,white,m,3,true
1270076,NAL550T15040,KABL VIT HAN+HON RQQ 5G1,5 4M,cable,EnstoNet,5G1.5,white,m,4,true
1270077,NAL550T15050,KABL VIT HAN+HON RQQ 5G1,5 5M,cable,EnstoNet,5G1.5,white,m,5,true
1270078,NAL550T15060,KABL VIT HAN+HON RQQ 5G1,5 6M,cable,EnstoNet,5G1.5,white,m,6,true
1270102,NAL550T25020,KABL VIT HAN+HON RQQ 5G2,5 2M,cable,EnstoNet,5G2.5,white,m,2,true
1270103,NAL550T25030,KABL VIT HAN+HON RQQ 5G2,5 3M,cable,EnstoNet,5G2.5,white,m,3,true
1270104,NAL550T25040,KABL VIT HAN+HON RQQ 5G2,5 4M,cable,EnstoNet,5G2.5,white,m,4,true
1270105,NAL550T25050,KABL VIT HAN+HON RQQ 5G2,5 5M,cable,EnstoNet,5G2.5,white,m,5,true
1270106,NAL550T25060,KABL VIT HAN+HON RQQ 5G2,5 6M,cable,EnstoNet,5G2.5,white,m,6,true
1270370,NAL130T15020B,KABL VIT HON SV+FRI RQQ3G1,5 2M,cable,EnstoNet,3G1.5,white-black,m,2,true
1270371,NAL130T15030B,KABL VIT HON SV+FRI RQQ3G1,5 3M,cable,EnstoNet,3G1.5,white-black,m,3,true
1270377,NAL130T25020B,KABL VIT HON SV+FRI RQQ3G2,5 2M,cable,EnstoNet,3G2.5,white-black,m,2,true
1270378,NAL130T25030B,KABL VIT HON SV+FRI RQQ3G2,5 3M,cable,EnstoNet,3G2.5,white-black,m,3,true
1270662,NAL310T15010B,KABL VIT HANE SV+FRI RQQ3G1,5 1M,cable,EnstoNet,3G1.5,white-black,m,1,true
1270365,NAL310T15020B,KABL VIT HANE SV+FRI RQQ3G1,5 2M,cable,EnstoNet,3G1.5,white-black,m,2,true
1270366,NAL310T15030B,KABL VIT HANE SV+FRI RQQ3G1,5 3M,cable,EnstoNet,3G1.5,white-black,m,3,true
1270663,NAL310T25010B,KABL VIT HANE SV+FRI RQQ3G2,5 1M,cable,EnstoNet,3G2.5,white-black,m,1,true
